date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-06 18:00:00+00:00,1.7000000000000002,3.2,320.0,0.9,76.0,0.0,981.1,1,1,1,1,1,1,1
2005-01-06 21:00:00+00:00,1.3,2.5,325.0,1.3,79.0,0.0,980.6,1,1,1,1,1,1,1
2005-01-07 00:00:00+00:00,0.8,1.3,20.0,1.1,77.0,0.0,979.9,1,1,1,1,1,1,1
2005-01-07 03:00:00+00:00,0.6000000000000001,0.8,25.0,1.3,84.0,0.0,979.4,1,1,1,1,1,1,1
2005-01-07 06:00:00+00:00,0.1,0.2,17.0,2.1,88.0,0.0,978.5,1,1,1,1,1,1,1
2005-01-07 09:00:00+00:00,0.3,0.1,47.0,1.3,90.0,0.0,977.7,1,1,1,1,1,1,1
2005-01-07 12:00:00+00:00,1.2,1.7000000000000002,15.0,1.1,82.0,0.0,977.2,1,1,1,1,1,1,1
2005-01-07 15:00:00+00:00,2.6,4.1,25.0,1.7000000000000002,80.0,0.0,977.0,1,1,1,1,1,1,1
2005-01-07 18:00:00+00:00,2.2,4.1,260.0,1.9,82.0,0.0,976.7,1,1,1,1,1,1,1
2005-01-07 21:00:00+00:00,1.7000000000000002,3.2,259.0,2.0,86.0,0.0,977.0,1,1,1,1,1,1,1
2005-01-08 00:00:00+00:00,0.9,1.2,196.0,1.2,87.0,0.0,976.7,1,1,1,1,1,1,1
2005-01-08 03:00:00+00:00,0.5,0.7000000000000001,269.0,1.0,87.0,0.0,977.0,1,1,1,1,1,1,1
2005-01-08 06:00:00+00:00,0.4,0.4,,0.0,88.0,0.0,976.9,1,1,1,1,1,1,1
2005-01-08 09:00:00+00:00,0.0,0.0,190.0,1.6,85.0,0.0,976.4,1,1,1,1,1,1,1
2005-01-08 12:00:00+00:00,0.0,1.3,257.0,2.4,75.0,0.0,975.0,1,1,1,1,1,1,1
2005-01-08 15:00:00+00:00,1.0,3.0,260.0,2.4,70.0,0.0,974.5,1,1,1,1,1,1,1
2005-01-08 18:00:00+00:00,2.0,3.8,200.0,1.3,66.0,0.0,973.5,1,1,1,1,1,1,1
2005-01-08 21:00:00+00:00,1.2,2.1,147.0,2.4,69.0,0.0,972.9,1,1,1,1,1,1,1
2005-01-09 00:00:00+00:00,0.6000000000000001,0.9,145.0,1.7000000000000002,71.0,0.0,972.7,1,1,1,1,1,1,1
2005-01-09 03:00:00+00:00,0.0,0.1,141.0,1.7000000000000002,75.0,0.0,973.4,1,1,1,1,1,1,1
2005-01-09 06:00:00+00:00,-0.3,,230.0,1.7000000000000002,76.0,0.0,973.4,1,1,1,1,1,1,1
2005-01-09 09:00:00+00:00,-0.1,,182.0,1.7000000000000002,75.0,0.0,974.1,1,1,1,1,1,1,1
2005-01-09 12:00:00+00:00,0.1,0.1,202.0,3.8,77.0,0.0,975.5,1,1,1,1,1,1,1
